time,accel_x,accel_y,accel_z,abs_accel,activity
0.004251375009,-0.5494818583,-0.3818953952,-0.5813424593,0.8864160764,0
0.01429937501,-0.3495211163,-0.1944555885,-0.2060523713,0.4499284013,0
0.02434629167,-0.352872448,-0.09226350814,0.06909771681,0.3712223241,0
0.03439429167,-0.5269034198,-0.02836659729,0.2864089018,0.6003848238,0
0.04444129167,-0.5755355895,0.002677147686,0.6364460349,0.8580862062,0
0.05448929167,-0.5991878691,0.004227829278,0.8543705928,1.043548316,0
0.06453629167,-0.6030812377,-0.003188779056,0.6360858464,0.8765399886,0
0.07458429167,-0.5420570639,0.01859326869,0.1549699259,0.5640808879,0
0.08463129167,-0.4860746518,0.07126586437,-0.2820597428,0.5664848533,0
0.09467929167,-0.3974975207,0.1991634741,-0.5072874731,0.6745449939,0
0.1047272917,-0.3960515043,0.3389443803,-0.5049474174,0.7257492551,0
0.1147742917,-0.4156712517,0.4696834445,-0.385603407,0.7362575059,0
0.1248222917,-0.4331149578,0.5452508131,-0.2399486804,0.736520458,0
0.1348692917,-0.4556249839,0.5458878672,-0.2061699003,0.7403335176,0
0.1449172917,-0.4643991695,0.5095395282,-0.2371735919,0.7290736809,0
0.1549642917,-0.4326227684,0.4717977977,-0.2776363242,0.6977374507,0
0.1650122917,-0.3165279096,0.4718147546,-0.3077746278,0.6461612042,0
0.1750592917,-0.1087777993,0.5246604279,-0.353149606,0.6417287732,0
0.1851072917,-0.02899137229,0.5656333297,-0.4476166373,0.7219018059,0
0.1951542917,-0.01408418834,0.5565666372,-0.5558199477,0.7867023581,0
0.2052022917,-0.02956659213,0.5738542226,-0.6049476689,0.8343527637,0
0.2152502917,-0.08690117285,0.5586476612,-0.4704634631,0.7355099546,0
0.2252972917,-0.08196509957,0.5609383079,-0.4399117613,0.7175600467,0
0.2353452917,0.004485983849,0.5783290967,-0.4425927097,0.728267104,0
0.2453922917,0.02279858619,0.4956097063,-0.3371282351,0.599836814,0
0.2554402917,-0.06354403138,0.4132122052,-0.2632176751,0.4940300749,0
0.2654872917,-0.1575073251,0.3593853691,-0.167208733,0.4265268589,0
0.2755352917,-0.2536330654,0.3183998957,-0.1975060809,0.4524564923,0
0.2855822917,-0.2622235022,0.2978969264,-0.2976647919,0.4960928061,0
0.2956302917,-0.2061298469,0.3677281764,-0.2102705526,0.4710915312,0
0.3056772917,-0.0425561817,0.3674884406,-0.04778870881,0.373018154,0
0.3157252917,0.02410923958,0.1760795438,0.09720703661,0.2025696649,0
0.3257722917,0.03291573107,-0.1464245126,0.1546647012,0.2155104476,0
0.3358202917,0.0592267397,-0.2808411831,0.1272973931,0.3139812145,0
0.3458672917,0.1539858395,-0.2538966286,0.09264679313,0.3110603881,0
0.3559152917,0.3092096807,-0.1752901697,0.03010088146,0.3567118351,0
0.3659632917,0.4723354492,-0.1769537026,-0.1042891842,0.5150627373,0
0.3760102917,0.6210908812,-0.2452602911,-0.2722223872,0.7211182435,0
0.3860582917,0.7760007269,-0.306225408,-0.529589923,0.9881379535,0
0.3961052917,0.8950616589,-0.355418618,-0.7526769876,1.222284916,0
0.4061532917,0.9734258238,-0.3995852691,-0.9598660576,1.424278438,0
0.4162002917,1.073905839,-0.4475277597,-1.212349999,1.680281931,0
0.4262482917,1.200986228,-0.4908372089,-1.49348939,1.978332541,0
0.4362952917,1.251246262,-0.5329047096,-1.719859082,2.192605733,0
0.4463432917,1.293670151,-0.6640326136,-1.847897902,2.351435397,0
0.4563902917,1.363739675,-0.8617825234,-2.166070048,2.700798858,0
0.4664382917,1.398575924,-0.9426845992,-2.406479489,2.93867528,0
0.4764862917,1.446710495,-0.7482331038,-2.534820026,3.012994623,0
0.4865332917,1.393908676,-0.4728973666,-2.837469569,3.196536699,0
0.4965812917,0.4560342159,-0.4225130787,-1.868793511,1.969485642,0
0.5066282917,-0.1352709487,-0.5169210532,-1.301169205,1.406608298,0
0.5166762917,-0.3442124292,-0.602986659,0.7173919648,0.9983618274,0
0.5267232917,-0.8967706539,-0.6174979864,2.13249826,2.394378875,0
0.5367712917,-3.413602744,-0.720010348,1.367707011,3.74722845,0
0.5468182917,-4.764112508,-0.4621998855,5.234395292,7.092904257,0
0.5568662917,-0.6193174206,-0.2981970347,3.124015296,3.198741488,0
0.5669132917,2.202003235,0.3871226598,0.6060381746,2.316455152,0
0.5769612917,2.327172826,0.6865215898,-0.0422221595,2.426690744,0
0.5870082917,1.642624526,0.282170109,-1.527896161,2.261040022,0
0.5970562917,0.6961932499,0.4302849054,-2.313926836,2.454401667,0
0.6071042917,-0.04663607642,0.7517493269,-2.103700138,2.234470014,0
0.6171512917,0.5460845529,0.9377764463,-1.975101154,2.253587711,0
0.6271992917,1.277539437,1.252783641,-1.799039152,2.537344229,0
0.6372462917,0.6693920253,1.449449477,-1.782547081,2.393003043,0
0.6472942917,0.631546726,0.9159170692,-0.590104512,1.259356455,0
0.6573412917,1.270099878,0.5665659606,-0.6055107558,1.516836828,0
0.6673892917,1.390223176,0.8377628924,-0.3361318696,1.657574064,0
0.6774362917,1.371321175,0.6762205499,0.06269384623,1.530270079,0
0.6874842917,1.193832379,0.0981792824,0.3865752143,1.258695879,0
0.6975312917,0.3496907587,-0.7668078075,1.310368044,1.557993021,0
0.7075792917,-0.310634501,-1.542065573,2.221233265,2.721826086,0
0.7176262917,0.7426181687,-1.261159632,2.50994597,2.90548346,0
0.7276742917,1.795675103,0.1480468225,2.215901774,2.855974021,0
0.7377222917,1.412705574,0.6518250892,2.605826274,3.034953633,0
0.7477692917,1.975407695,0.2277506576,2.442310057,3.149441909,0
0.7578172917,1.678822153,0.1114773126,1.656973447,2.361447017,0
0.7678642917,0.5021508038,0.9407053167,-0.7088959605,1.28047468,0
0.7779122917,-0.6431802732,1.377315155,-2.540959017,2.960937458,0
0.7879592917,-1.176999487,0.7783453873,-2.672574579,3.022218426,0
0.7980072917,-0.1545590128,-0.08340468407,-2.539973761,2.546038401,0
0.8080542917,0.7464714839,-1.389413629,-2.31724747,2.803092176,0
0.8181022917,0.9190280803,-2.015370636,-1.875597332,2.902446686,0
0.8281492917,0.3354597321,-1.800809982,-1.109316212,2.141502342,0
0.8381972917,0.2497111917,-1.637846619,-0.7818984479,1.832010483,0
0.8482452917,0.6633376721,-1.61975855,-0.8663708335,1.953006157,0
0.8582922917,0.4912333578,-1.70788223,-1.002206916,2.040242786,0
0.8683402917,0.1906130907,-2.201420852,-1.666944119,2.767903505,0
0.8783872917,-0.007578430027,-2.645358129,-2.3745572,3.554785361,0
0.8884352917,-0.2609958793,-3.170593046,-2.369619811,3.966847257,0
0.8984822917,-0.6927472664,-3.739218396,-2.95386132,4.815282929,0
0.9085302917,-1.075151808,-3.521466916,-4.483159059,5.801327072,0
0.9185772917,-1.066085408,-3.447495252,-4.739192845,5.956652619,0
0.9286252917,-1.384802223,-3.517607753,-4.771195825,6.08732709,0
0.9386722917,-1.059315501,-3.7138254,-4.746291364,6.118981137,0
0.9487202917,-1.075539478,-3.654928736,-4.543693528,5.929623943,0
0.9587682917,-1.205454085,-3.948696943,-4.434286861,6.058731473,0
0.9688152917,-1.715119913,-4.855124128,-4.236127646,6.667731552,0
0.9788632917,-1.884021707,-5.606599805,-4.434254116,7.392300639,0
0.9889102917,-2.092452141,-5.747729956,-4.480739481,7.58233354,0
0.9989582917,-2.227768114,-5.698082417,-4.380620531,7.524688049,0
1.009005292,-2.090274931,-5.845941544,-4.304708469,7.554786352,0
1.019053292,-1.940241809,-6.085956298,-4.205221603,7.647698416,0
1.029099625,-1.600411575,-6.275383281,-4.181435714,7.708836304,0
1.039147625,-0.7806184924,-6.11136245,-3.730265724,7.202291205,0
1.049194625,-0.3991438043,-5.928711221,-2.84324194,6.58733309,0
1.059242625,-0.3147012395,-6.167572904,-1.644014847,6.390678932,0
1.069289625,-0.1276353621,-6.535392589,-0.2275970221,6.540599933,0
1.079337625,0.4085332632,-6.663861764,0.7714243305,6.720792255,0
1.089385625,1.473188442,-6.105355021,1.800913185,6.533676791,0
1.099432625,3.187522489,-5.18178497,3.151908268,6.851694741,0
1.109480625,5.446301896,-4.08752183,4.198655764,7.999921829,0
1.119527625,7.580888781,-2.678836947,4.790952105,9.359447856,0
1.129575625,9.005479259,-1.248766019,4.831260179,10.29558877,0
1.139622625,9.592927381,0.1876403663,4.577593346,10.63079609,0
1.149670625,9.180162488,1.089554816,4.305335875,10.19796205,0
1.159717625,8.771666647,1.2789473,4.040742935,9.74194259,0
