"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.049042916E-1,-4.396393980E0,2.511535536E-1,4.667403070E0,6.416853555E0
6.149562916E-1,-3.440939646E0,6.904810318E-1,3.489496095E0,4.949082006E0
6.250082917E-1,-4.512453609E0,3.763314772E-1,2.571132404E0,5.207166676E0
6.350602916E-1,-4.937254411E0,-1.306852698E-4,1.249354103E0,5.092874121E0
6.451122917E-1,-4.845677074E0,5.282781002E-1,5.721668623E-2,4.874724382E0
6.551642916E-1,-4.709752699E0,1.095263306E0,-3.349268315E-1,4.847014357E0
6.652162917E-1,-4.706339094E0,1.448469630E0,-7.617425108E-1,4.982764653E0
6.752682916E-1,-5.054867646E0,1.880815971E0,-1.143436323E0,5.513311370E0
6.853202917E-1,-5.627463255E0,2.382224362E0,-1.946488974E0,6.413435501E0
6.953722916E-1,-6.070521403E0,2.483269803E0,-2.054620948E0,6.873087098E0
7.054242917E-1,-6.820201108E0,3.178477139E0,-1.197336250E0,7.619151801E0
7.154772916E-1,-7.903381435E0,4.096319550E0,-1.642063193E0,9.052051894E0
7.255292917E-1,-7.780935477E0,3.537440924E0,-1.560019010E0,8.688504158E0
7.355812916E-1,-5.302577335E0,2.108540170E0,8.866900541E-1,5.774901497E0
7.456332917E-1,-1.666499730E0,7.877287066E-1,6.097681720E0,6.370200956E0
7.556852916E-1,-1.750751091E0,4.213825196E-1,5.146691735E0,5.452625829E0
7.657372917E-1,-2.766841051E0,-6.703060913E-1,9.310787532E-1,2.995267484E0
7.757892916E-1,-1.911082329E0,-3.499675512E-1,-1.292232905E0,2.333362131E0
7.858412917E-1,-9.137133998E-1,7.172475386E-1,-3.493845838E0,3.681884701E0
7.958932916E-1,-8.047160375E-1,8.175395662E-1,-5.653689187E0,5.768894197E0
8.059452916E-1,-1.343534036E0,1.320096057E0,-6.712189586E0,6.971457979E0
8.159972916E-1,-2.343390371E0,2.034067401E0,-5.525758540E0,6.337421878E0
8.260492916E-1,-2.948540938E0,2.313275456E0,-3.169881440E0,4.908491148E0
8.361022916E-1,-2.806102765E0,2.230015199E0,-1.575552869E0,3.915296586E0
8.461542916E-1,-2.289394843E0,1.899721774E0,-7.186536478E-1,3.060512152E0
8.562062916E-1,-1.845818632E0,1.424774666E0,-1.030703321E-2,2.331766606E0
8.662582916E-1,-1.221303840E0,1.427971339E0,3.087708472E-1,1.904212344E0
8.763102916E-1,-8.960343432E-1,1.413729275E0,5.016968040E-1,1.747343038E0
8.863622916E-1,-9.101775885E-1,7.753361177E-1,4.064263652E-1,1.262834799E0
8.964142916E-1,-4.505244577E-1,4.420851713E-1,-1.648183912E-2,6.314136811E-1
9.064662916E-1,-1.056305355E-1,4.376594138E-1,-3.612424448E-1,5.772345073E-1
9.165182916E-1,-3.854741836E-1,5.656467783E-1,-5.309675270E-1,8.662985275E-1
9.265702916E-1,-1.576631534E0,6.093120307E-1,2.178345108E-1,1.704253508E0
9.366222916E-1,-2.838376472E0,6.506799120E-1,2.541328561E0,3.864985925E0
9.466742916E-1,-3.568374449E0,6.445444286E-1,4.854533266E0,6.059309116E0
9.567272916E-1,-2.966149828E0,8.209093165E-1,2.823925079E0,4.176899539E0
9.667792916E-1,-1.816162723E-1,1.594070270E0,-7.383322474E0,7.555626728E0
9.768312916E-1,9.251528925E-1,2.645844033E0,-6.049688943E0,6.667468397E0
9.868832916E-1,3.451552927E-2,2.061369220E0,-2.305934277E0,3.093180770E0
9.969352917E-1,-1.242330428E0,1.581209904E0,-1.225413556E0,2.354835033E0
1.006987292E0,-1.180430049E-1,2.100224553E0,-6.304333431E-1,2.195978944E0
1.017039292E0,1.193086932E0,1.927146969E0,-8.402989760E-1,2.417323776E0
1.027091292E0,1.993167297E0,1.308929629E0,-1.131687367E0,2.639456183E0
1.037143292E0,2.892271428E0,1.151397454E0,-9.407965332E-1,3.252083675E0
1.047195292E0,2.529504322E0,1.313318549E0,-1.074305862E0,3.045871109E0
1.057247292E0,2.156416880E0,1.925112723E0,-1.595719039E0,3.301895214E0
1.067299292E0,1.867533436E0,3.311924926E0,-1.922489224E0,4.260574218E0
1.077352292E0,1.442494068E0,3.604758748E0,-2.679155036E0,4.717302881E0
1.087404292E0,-1.532527156E0,4.946785957E0,-7.904311435E-1,5.238712836E0
1.097456292E0,-3.331068710E0,5.603127143E0,1.013601677E-1,6.519304136E0
1.107508292E0,-1.456449033E0,3.861493031E0,-5.119148134E-1,4.158657114E0
1.117560292E0,-4.246131063E-1,2.214875003E0,3.732792306E-1,2.285892594E0
1.127612292E0,-2.584586263E-2,1.076998359E0,1.332640089E0,1.713628629E0
1.137664292E0,-1.732395512E-1,8.370029005E-1,2.247700102E0,2.404733155E0
