"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.407944167E-1,2.645673294E0,3.081911834E0,8.751077431E-1,4.154946606E0
6.508424167E-1,3.714296101E0,2.425823248E0,2.036063640E0,4.881205702E0
6.608914167E-1,3.900188735E0,7.546489611E-1,1.973299627E0,4.435637343E0
6.709394167E-1,3.780763740E0,-2.538334787E-1,2.637304759E-1,3.798441741E0
6.809874167E-1,2.835951339E0,-5.009047987E-1,-8.568948358E-1,3.004628825E0
6.910354167E-1,-3.634401208E-1,1.789455566E-1,-1.518290355E0,1.571405688E0
7.010844167E-1,-5.403056474E0,4.586235823E-1,-1.652364671E-2,5.422511215E0
7.111324167E-1,-3.700158703E0,-5.214704794E-1,4.422290128E0,5.789624847E0
7.211804167E-1,-8.806965119E-1,-2.537604762E0,7.636801026E0,8.095418099E0
7.312294167E-1,-1.554846855E0,-3.593264292E0,7.473243295E0,8.436732920E0
7.412774167E-1,-1.001235255E0,-4.259419152E0,3.923273542E0,5.876835784E0
7.513254167E-1,-8.687651221E-1,-4.919375380E0,1.734021038E-1,4.998507303E0
7.613734167E-1,-1.868886482E0,-4.787652229E0,-1.515093682E0,5.358158211E0
7.714224167E-1,-2.509833119E0,-4.390287440E0,-2.145685485E0,5.493437202E0
7.814704167E-1,-2.329824977E0,-4.443562299E0,-2.339647568E0,5.535998652E0
7.915184167E-1,-2.156987861E0,-4.799815022E0,-2.213746490E0,5.708896076E0
8.015674167E-1,-2.353005240E0,-5.295527932E0,-2.122928706E0,6.171391742E0
8.116154167E-1,-2.662274709E0,-5.822297158E0,-2.306716050E0,6.804982716E0
8.216634167E-1,-3.141716864E0,-6.115460179E0,-2.817360994E0,7.430125236E0
8.317124167E-1,-3.366096455E0,-6.078633245E0,-3.114460360E0,7.614476398E0
8.417604167E-1,-3.238204401E0,-5.856502200E0,-3.651520101E0,7.623528370E0
8.518084167E-1,-3.212590965E0,-5.586100636E0,-4.101953927E0,7.638801414E0
8.618564167E-1,-2.596024001E0,-5.375506148E0,-4.457056503E0,7.449883196E0
8.719054167E-1,-2.583234971E0,-5.300999756E0,-4.972509028E0,7.713594971E0
8.819534167E-1,-3.138600006E0,-5.338635945E0,-5.265976104E0,8.129104998E0
8.920014167E-1,-3.194815722E0,-5.245961085E0,-4.809711435E0,7.801299846E0
9.020504167E-1,-3.155887006E0,-4.954941654E0,-4.123207387E0,7.177179721E0
9.120984167E-1,-3.332109514E0,-5.088728287E0,-3.778187749E0,7.160503618E0
9.221464167E-1,-3.268460526E0,-5.099264385E0,-4.131456639E0,7.331730043E0
9.321944167E-1,-3.414750260E0,-5.057190744E0,-4.845282387E0,7.791820003E0
9.422434167E-1,-3.376674361E0,-4.500857996E0,-4.852465691E0,7.430079119E0
9.522914167E-1,-3.259084515E0,-3.735433493E0,-4.544548976E0,6.725178113E0
9.623394167E-1,-2.783629869E0,-3.212044542E0,-3.403016360E0,5.444845795E0
9.723884167E-1,-2.324109178E0,-2.427182141E0,-1.539859564E0,3.696466433E0
9.824364167E-1,-2.019366916E0,-1.774593113E0,-2.448755443E-1,2.699442070E0
9.924844167E-1,-1.545928974E0,-1.113299920E0,3.586775637E-1,1.938551702E0
1.002532417E0,-1.213811145E0,-1.898427200E-1,5.417223108E-1,1.342699079E0
1.012581417E0,-1.076585765E0,8.547144091E-1,4.034187037E-1,1.432592154E0
1.022629417E0,-1.111261361E0,1.776848384E0,2.825754672E-1,2.114696406E0
1.032677417E0,-1.183965495E0,2.463513815E0,4.269566703E-1,2.766399575E0
1.042726417E0,-1.210169134E0,2.869675156E0,7.818072313E-1,3.211038364E0
1.052774417E0,-1.382835658E0,3.051222723E0,1.336849499E0,3.606849199E0
1.062822417E0,-1.618200267E0,3.205743290E0,1.955832825E0,4.089088430E0
1.072870417E0,-1.448462175E0,2.716684220E0,2.397404611E0,3.902046218E0
1.082919417E0,-1.752263474E0,1.571776299E0,2.877993112E0,3.718030711E0
1.092967417E0,-2.046120559E0,6.617767578E-1,3.121212140E0,3.790319649E0
1.103015417E0,-2.049212859E0,2.567980170E-1,3.051308092E0,3.684521629E0
1.113064417E0,-1.709061759E0,4.452128470E-2,3.140500351E0,3.575698071E0
1.123112417E0,-9.920083483E-1,-1.274760255E-1,3.902089080E0,4.028229125E0
1.133160292E0,-1.482122988E-2,-2.595082015E-1,4.985870501E0,4.992641468E0
1.143208292E0,6.046681720E-1,-4.772383395E-1,5.910160929E0,5.960149515E0
1.153257292E0,9.566408797E-1,-9.253440964E-1,6.740786564E0,6.870926209E0
1.163305292E0,1.007582846E0,-1.678581832E0,6.954928558E0,7.225226045E0
1.173353292E0,1.051212722E0,-2.214301684E0,6.257608915E0,6.720554253E0
1.183402292E0,1.404164400E0,-2.181611070E0,4.999758223E0,5.632822278E0
1.193450292E0,1.786331106E0,-1.986160870E0,3.689531096E0,4.555047040E0
1.203498292E0,2.035678016E0,-1.628143165E0,2.321859169E0,3.490825855E0
1.213546292E0,2.224372928E0,-1.161167859E0,1.075260274E0,2.729895671E0
1.223595292E0,2.329432629E0,-6.292425576E-1,2.464730036E-1,2.425479645E0
1.233643292E0,2.123025624E0,-2.388686997E-1,-1.335159069E-1,2.140589300E0
1.243691292E0,1.790935642E0,-9.894979924E-2,-3.983795732E-1,1.837375253E0
1.253739292E0,1.436661032E0,-1.045680964E-1,-7.461748838E-1,1.622253484E0
1.263788292E0,1.191697341E0,-2.684740296E-1,-1.071157867E0,1.624684595E0
1.273836292E0,1.009915885E0,-5.267429137E-1,-1.053712115E0,1.551675679E0
1.283884292E0,9.896618606E-1,-8.393236604E-1,-7.936191916E-1,1.521093760E0
1.293933292E0,1.228569006E0,-1.144219119E0,-2.686275190E-1,1.700229378E0
1.303981292E0,1.122926045E0,-1.441524015E0,5.210787159E-1,1.900125632E0
1.314029292E0,1.475705522E0,-1.550238080E0,1.213805371E0,2.460542292E0
1.324077292E0,1.375712580E0,-1.575837775E0,1.722932378E0,2.710045345E0
1.334126292E0,1.032803641E0,-1.730693680E0,1.583630651E0,2.563175767E0
1.344174292E0,7.621737429E-1,-1.896387691E0,1.078060505E0,2.310716241E0
1.354222292E0,5.195768586E-1,-1.934348108E0,3.084301007E-1,2.026522105E0
1.364271292E0,3.094527787E-1,-2.026894621E0,-7.299348271E-1,2.176434626E0
1.374319292E0,3.302036700E-1,-2.027066822E0,-1.548190092E0,2.571950024E0
1.384367292E0,3.635754839E-1,-1.869426180E0,-2.039367902E0,2.790333818E0
1.394415292E0,6.177583337E-4,-1.859925916E0,-2.276655514E0,2.939810390E0
1.404464292E0,-2.610258463E-1,-1.739920001E0,-2.091049102E0,2.732753639E0
1.414512292E0,-4.757744890E-1,-1.526922015E0,-1.579845164E0,2.248057594E0
1.424560292E0,-2.940212457E-1,-1.351496482E0,-1.243613892E0,1.859991061E0
1.434609292E0,-8.684737846E-2,-1.291794364E0,-8.556160498E-1,1.551887229E0
1.444657292E0,1.969745690E-1,-1.368426218E0,-4.061686492E-1,1.440958801E0
1.454705292E0,5.583858521E-1,-1.437033061E0,-1.582022667E-2,1.541787618E0
1.464753292E0,6.366727607E-1,-1.330563450E0,3.609533000E-1,1.518564646E0
1.474802292E0,3.926551491E-1,-1.243881402E0,6.937019706E-1,1.477376537E0
1.484850292E0,3.604283662E-1,-1.150213100E0,7.608917409E-1,1.425431522E0
1.494898292E0,3.648156783E-1,-1.007314458E0,7.408404690E-1,1.302542705E0
1.504946292E0,5.978050026E-1,-8.330077904E-1,7.383899009E-1,1.263523821E0
1.514995292E0,1.004992675E0,-6.664931220E-1,8.257794625E-1,1.461552284E0
1.525043292E0,1.334291342E0,-5.269978523E-1,1.165317335E0,1.848249067E0
1.535091292E0,1.455840338E0,-3.859399143E-1,1.612520574E0,2.206500240E0
1.545140292E0,1.311706764E0,-3.630015796E-1,1.705410612E0,2.181918912E0
1.555188292E0,1.004986682E0,-4.620668614E-1,1.259943411E0,1.676592203E0
1.565236292E0,9.983845907E-1,-3.739756340E-1,7.380636263E-1,1.296675550E0
1.575284292E0,1.419571960E0,-1.724595326E-1,4.010254383E-1,1.485176165E0
1.585333292E0,1.763769478E0,4.582345963E-2,-2.008635521E-2,1.764478967E0
1.595381292E0,2.196203382E0,4.674003991E-1,-2.924473214E-1,2.264353741E0
1.605429292E0,2.502661509E0,8.886861473E-1,-4.091852278E-1,2.687100714E0
1.615477292E0,2.422899348E0,9.534654030E-1,-4.312806863E-1,2.639231054E0
1.625526292E0,2.170254316E0,8.785751420E-1,-5.496008492E-1,2.404986314E0
1.635574292E0,2.040174233E0,9.722405201E-1,-6.596086103E-1,2.354282491E0
1.645622292E0,2.001012506E0,9.633357954E-1,-5.673243445E-1,2.292143934E0
1.655671292E0,2.588432561E0,6.570542541E-1,-7.224930757E-1,2.766532064E0
