"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.112767084E-1,-2.912475312E0,-3.043820440E0,-2.453646639E0,4.875216626E0
6.213297084E-1,-3.655110584E0,-2.627440506E0,-2.839761677E0,5.322360696E0
6.313837083E-1,-4.347155161E0,-2.542172022E0,-2.625310366E0,5.679141758E0
6.414367084E-1,-4.982294344E0,-2.239769816E0,-1.785483552E0,5.746979839E0
6.514897083E-1,-5.245761110E0,-1.933348234E0,-7.006554794E-1,5.634426601E0
6.615427084E-1,-5.089800081E0,-1.887208732E0,3.684593707E-1,5.440899188E0
6.715957084E-1,-4.670131965E0,-1.936795168E0,1.561833401E0,5.291562309E0
6.816487084E-1,-4.257007468E0,-1.788821581E0,2.044888843E0,5.050105505E0
6.917017084E-1,-4.019408199E0,-1.519575281E0,1.810812521E0,4.663024050E0
7.017557084E-1,-4.217614192E0,-1.125329543E0,1.321167852E0,4.560714916E0
7.118087084E-1,-4.621760289E0,-5.290300521E-1,1.176916457E0,4.798507405E0
7.218617083E-1,-4.791355271E0,5.899475142E-2,1.503656529E0,5.022105999E0
7.319147084E-1,-4.345069752E0,4.316049144E-1,2.057802418E0,4.827055494E0
7.419677083E-1,-3.481586274E0,9.231320947E-1,2.649597360E0,4.471463073E0
7.520207084E-1,-2.708411871E0,1.491019818E0,2.779693816E0,4.157563310E0
7.620737083E-1,-2.523759432E0,1.669453159E0,2.568732122E0,3.969234213E0
7.721267084E-1,-2.932913085E0,1.309582763E0,2.550775908E0,4.101639174E0
7.821807084E-1,-3.627118501E0,9.260355297E-1,2.664705981E0,4.595017779E0
7.922337084E-1,-4.861841701E0,3.430035174E-1,2.873881350E0,5.658122494E0
8.022867084E-1,-6.165356224E0,-3.014885786E-1,3.120650808E0,6.916717010E0
8.123397083E-1,-6.845620124E0,-4.549420291E-1,3.233507917E0,7.584527710E0
8.223927084E-1,-6.726612328E0,-5.747929931E-2,3.129926831E0,7.419370543E0
8.324457083E-1,-6.010737131E0,3.151514751E-1,3.375941412E0,6.901105834E0
8.424987084E-1,-5.257726268E0,7.800641763E-1,3.892249385E0,6.588003559E0
8.525517083E-1,-4.752505785E0,1.382960057E0,4.571307589E0,6.737636294E0
8.626057084E-1,-4.695152201E0,1.764516606E0,5.228227649E0,7.245159584E0
8.726587084E-1,-5.050148358E0,2.022263042E0,5.763185316E0,7.925140455E0
8.827117084E-1,-5.476546619E0,2.155555000E0,6.054146276E0,8.443439308E0
8.927647084E-1,-6.037652450E0,2.165477141E0,5.973183973E0,8.764785515E0
9.028177083E-1,-6.622269350E0,2.184226822E0,5.613384914E0,8.951837149E0
9.128707084E-1,-6.938459875E0,2.263007528E0,5.394864525E0,9.075681338E0
9.229237083E-1,-6.711821796E0,2.463093401E0,5.673187312E0,9.126907209E0
9.329767084E-1,-5.988302534E0,2.646218839E0,6.232998569E0,9.039497361E0
9.430307084E-1,-4.779358538E0,2.453158981E0,6.490812832E0,8.425610260E0
9.530837084E-1,-2.691780344E0,2.095216997E0,6.202479612E0,7.078585241E0
9.631367084E-1,-1.399244553E-1,2.153957541E0,5.155427476E0,5.589055770E0
9.731897084E-1,1.820256359E0,2.827804121E0,3.931306739E0,5.173488382E0
9.832427084E-1,2.715289074E0,3.320478233E0,2.806222633E0,5.125744426E0
9.932957083E-1,3.143618086E0,3.180941156E0,1.979385409E0,4.890673564E0
1.003348708E0,3.478672314E0,2.890754660E0,1.691638080E0,4.829002274E0
