"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.937434583E-1,-5.165181801E-2,-6.039420940E-2,-1.398554581E-1,1.608568308E-1
6.037154583E-1,-5.603722975E-2,-1.573697694E-2,-7.068932891E-2,9.156857967E-2
6.136874583E-1,-1.058316797E-2,2.367172167E-2,2.783391595E-2,3.804051430E-2
6.236594583E-1,5.201551482E-2,5.000356100E-2,8.456126332E-2,1.111601419E-1
6.336314583E-1,8.465905800E-2,2.940944821E-2,5.051351130E-2,1.028770459E-1
6.436034583E-1,7.301637456E-2,2.877283260E-2,8.010685444E-4,7.848508496E-2
6.535754583E-1,4.696922153E-2,3.921690993E-2,2.462788761E-2,6.595912859E-2
6.635474583E-1,1.059639730E-1,7.617752552E-2,4.352374971E-2,1.375706936E-1
6.735194583E-1,1.523880878E-1,1.063449921E-1,8.090266049E-2,2.026736962E-1
6.834914583E-1,1.491323581E-1,1.435544068E-1,6.260146022E-2,2.162574178E-1
6.934634583E-1,1.175209947E-1,1.536012389E-1,3.354956925E-2,1.962908515E-1
7.034354583E-1,1.127023043E-1,1.916242205E-1,1.236452222E-2,2.226533913E-1
7.134074583E-1,8.547576785E-2,1.924800336E-1,1.802755058E-2,2.113756438E-1
7.233794583E-1,4.387122050E-2,1.764604899E-1,3.066806138E-2,1.844004297E-1
7.333514583E-1,2.669356272E-2,1.437521157E-1,4.331091106E-2,1.524895147E-1
7.433234583E-1,2.489305884E-2,1.353277398E-1,8.981907964E-2,1.643189843E-1
7.532954583E-1,1.544147328E-2,1.284625239E-1,1.434304458E-1,1.931666429E-1
7.632674583E-1,6.147616357E-3,1.525040819E-1,1.911758852E-1,2.446293263E-1
7.732394583E-1,-1.885741666E-2,1.477356045E-1,2.279303133E-1,2.722749323E-1
7.832114583E-1,-5.047828183E-2,1.580693156E-1,2.439674717E-1,2.950493056E-1
7.931834583E-1,-5.865458965E-2,1.498840908E-1,2.733526540E-1,3.172180244E-1
8.031554583E-1,-2.682731777E-2,1.513971309E-1,3.106713384E-1,3.466373851E-1
8.131274583E-1,2.850225270E-2,1.586981837E-1,3.786352801E-1,4.115363499E-1
8.230994583E-1,2.821530059E-2,1.367572378E-1,4.313192779E-1,4.533596417E-1
8.330714583E-1,3.870944470E-2,1.301145816E-1,4.665393966E-1,4.858880880E-1
8.430434583E-1,3.241374761E-2,1.346477086E-1,4.868783516E-1,5.061928345E-1
8.530154583E-1,1.677142248E-2,1.579080056E-1,4.789951354E-1,5.046311114E-1
8.629874583E-1,1.317450777E-2,1.680329711E-1,4.847745234E-1,5.132396960E-1
8.729594583E-1,2.143881619E-3,1.494407988E-1,4.549712652E-1,4.788903849E-1
8.829314583E-1,-1.693704486E-2,1.343375138E-1,4.085870576E-1,4.304379337E-1
8.929034583E-1,-2.013459474E-2,1.110345322E-1,4.141360652E-1,4.292350752E-1
9.028754583E-1,-6.162073597E-2,7.659077749E-2,4.607635170E-1,4.711329758E-1
9.128474583E-1,-1.352861515E-1,6.946287543E-2,5.358908826E-1,5.570515882E-1
9.228194583E-1,-2.312266812E-1,8.442246504E-2,6.644746631E-1,7.086039152E-1
9.327914583E-1,-3.930435504E-1,7.524138629E-2,8.829693246E-1,9.694221613E-1
9.427634583E-1,-6.699437101E-1,1.139603327E-1,1.209211214E0,1.387084457E0
9.527344583E-1,-8.331601104E-1,1.179009906E-1,1.588163413E0,1.797308944E0
9.627064583E-1,-8.020336273E-1,-2.230807789E-2,1.790038533E0,1.961630327E0
9.726784583E-1,-7.172739972E-1,-3.017189589E-1,1.793541600E0,1.955072323E0
9.826504583E-1,-6.203487964E-1,-5.493672529E-1,1.742019444E0,1.929059033E0
9.926224583E-1,-7.111228725E-1,-6.465680037E-1,1.680519599E0,1.935947325E0
1.002594458E0,-9.341248602E-1,-5.732861656E-1,1.827672967E0,2.131111156E0
1.012566458E0,-8.768048975E-1,-6.315291113E-1,2.112456343E0,2.372780573E0
1.022538458E0,-9.157390215E-1,-6.798350063E-1,2.218655813E0,2.494631678E0
1.032510458E0,-1.039926134E0,-8.796520530E-1,2.153697925E0,2.548263889E0
1.042482458E0,-1.142479719E0,-7.526667550E-1,2.045477073E0,2.460842052E0
1.052454458E0,-1.000288006E0,-3.526055226E-1,2.342580532E0,2.571495731E0
1.062426458E0,-6.936809206E-1,1.616620642E-1,2.709186920E0,2.801253578E0
1.072398458E0,-2.219981669E-1,6.753870293E-1,2.757585493E0,2.847755007E0
1.082370458E0,2.742735904E-1,1.090596643E0,2.501130123E0,2.742312698E0
1.092342458E0,6.218155704E-1,9.861596708E-1,2.081377223E0,2.385643863E0
1.102314458E0,8.268449713E-1,6.849723700E-1,1.626029397E0,1.948545959E0
1.112286458E0,8.265920793E-1,5.955001764E-1,1.459850358E0,1.780179203E0
1.122258458E0,7.303607967E-1,5.995408948E-1,1.569485067E0,1.831982411E0
1.132230458E0,5.068499552E-1,4.806572065E-1,1.711064869E0,1.848153461E0
1.142202458E0,1.551099667E-1,3.740056010E-1,1.940345889E0,1.982140626E0
1.152174458E0,-1.583148256E-1,2.284134395E-1,2.094738695E0,2.113094055E0
1.162146458E0,-3.421721895E-1,1.044461820E-1,2.056990240E0,2.087869646E0
1.172118458E0,-4.554728101E-1,-9.217930824E-2,1.914488332E0,1.970080729E0
1.182090375E0,-6.112316716E-1,-3.372527808E-1,1.723716490E0,1.859715605E0
1.192062375E0,-6.087238008E-1,-6.004565687E-1,1.572777634E0,1.790173803E0
1.202034375E0,-4.432037437E-1,-7.800090663E-1,1.444697884E0,1.700586863E0
1.212006375E0,-2.113826931E-1,-7.580385920E-1,1.344874803E0,1.558201972E0
1.221978375E0,-9.523652494E-3,-6.234732561E-1,1.225655338E0,1.375151122E0
1.231950375E0,1.452303649E-1,-4.007297154E-1,1.039418011E0,1.123417093E0
1.241922375E0,2.723052715E-1,-2.324876332E-1,7.246904594E-1,8.083173401E-1
1.251894375E0,2.467829061E-1,-1.952646969E-1,5.461913377E-1,6.303610727E-1
1.261866375E0,1.479208151E-1,-1.844387233E-1,5.350056142E-1,5.849181288E-1
1.271837375E0,3.805616453E-2,-2.819841675E-1,5.559748989E-1,6.245569875E-1
1.281809375E0,2.501614273E-2,-4.378811695E-1,6.505448413E-1,7.845854424E-1
1.291781375E0,1.397032844E-1,-5.494480906E-1,8.485970521E-1,1.020552384E0
1.301753375E0,3.645393974E-1,-5.688741490E-1,1.247739687E0,1.418929560E0
1.311725375E0,6.811621781E-1,-4.442625283E-1,1.614610369E0,1.807848929E0
