"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.970562917E-1,6.961932499E-1,4.302849054E-1,-2.313926836E0,2.454401667E0
6.071042917E-1,-4.663607642E-2,7.517493269E-1,-2.103700138E0,2.234470014E0
6.171512917E-1,5.460845529E-1,9.377764463E-1,-1.975101154E0,2.253587711E0
6.271992917E-1,1.277539437E0,1.252783641E0,-1.799039152E0,2.537344229E0
6.372462917E-1,6.693920253E-1,1.449449477E0,-1.782547081E0,2.393003043E0
6.472942917E-1,6.315467260E-1,9.159170692E-1,-5.901045120E-1,1.259356455E0
6.573412917E-1,1.270099878E0,5.665659606E-1,-6.055107558E-1,1.516836828E0
6.673892917E-1,1.390223176E0,8.377628924E-1,-3.361318696E-1,1.657574064E0
6.774362917E-1,1.371321175E0,6.762205499E-1,6.269384623E-2,1.530270079E0
6.874842917E-1,1.193832379E0,9.817928240E-2,3.865752143E-1,1.258695879E0
6.975312917E-1,3.496907587E-1,-7.668078075E-1,1.310368044E0,1.557993021E0
7.075792917E-1,-3.106345010E-1,-1.542065573E0,2.221233265E0,2.721826086E0
7.176262917E-1,7.426181687E-1,-1.261159632E0,2.509945970E0,2.905483460E0
7.276742917E-1,1.795675103E0,1.480468225E-1,2.215901774E0,2.855974021E0
7.377222917E-1,1.412705574E0,6.518250892E-1,2.605826274E0,3.034953633E0
7.477692917E-1,1.975407695E0,2.277506576E-1,2.442310057E0,3.149441909E0
7.578172917E-1,1.678822153E0,1.114773126E-1,1.656973447E0,2.361447017E0
7.678642917E-1,5.021508038E-1,9.407053167E-1,-7.088959605E-1,1.280474680E0
7.779122917E-1,-6.431802732E-1,1.377315155E0,-2.540959017E0,2.960937458E0
7.879592917E-1,-1.176999487E0,7.783453873E-1,-2.672574579E0,3.022218426E0
7.980072917E-1,-1.545590128E-1,-8.340468407E-2,-2.539973761E0,2.546038401E0
8.080542917E-1,7.464714839E-1,-1.389413629E0,-2.317247470E0,2.803092176E0
8.181022917E-1,9.190280803E-1,-2.015370636E0,-1.875597332E0,2.902446686E0
8.281492917E-1,3.354597321E-1,-1.800809982E0,-1.109316212E0,2.141502342E0
8.381972917E-1,2.497111917E-1,-1.637846619E0,-7.818984479E-1,1.832010483E0
8.482452917E-1,6.633376721E-1,-1.619758550E0,-8.663708335E-1,1.953006157E0
8.582922917E-1,4.912333578E-1,-1.707882230E0,-1.002206916E0,2.040242786E0
8.683402917E-1,1.906130907E-1,-2.201420852E0,-1.666944119E0,2.767903505E0
8.783872917E-1,-7.578430027E-3,-2.645358129E0,-2.374557200E0,3.554785361E0
8.884352917E-1,-2.609958793E-1,-3.170593046E0,-2.369619811E0,3.966847257E0
8.984822917E-1,-6.927472664E-1,-3.739218396E0,-2.953861320E0,4.815282929E0
9.085302917E-1,-1.075151808E0,-3.521466916E0,-4.483159059E0,5.801327072E0
9.185772917E-1,-1.066085408E0,-3.447495252E0,-4.739192845E0,5.956652619E0
9.286252917E-1,-1.384802223E0,-3.517607753E0,-4.771195825E0,6.087327090E0
9.386722917E-1,-1.059315501E0,-3.713825400E0,-4.746291364E0,6.118981137E0
9.487202917E-1,-1.075539478E0,-3.654928736E0,-4.543693528E0,5.929623943E0
9.587682917E-1,-1.205454085E0,-3.948696943E0,-4.434286861E0,6.058731473E0
9.688152917E-1,-1.715119913E0,-4.855124128E0,-4.236127646E0,6.667731552E0
9.788632917E-1,-1.884021707E0,-5.606599805E0,-4.434254116E0,7.392300639E0
9.889102917E-1,-2.092452141E0,-5.747729956E0,-4.480739481E0,7.582333540E0
9.989582917E-1,-2.227768114E0,-5.698082417E0,-4.380620531E0,7.524688049E0
1.009005292E0,-2.090274931E0,-5.845941544E0,-4.304708469E0,7.554786352E0
1.019053292E0,-1.940241809E0,-6.085956298E0,-4.205221603E0,7.647698416E0
1.029099625E0,-1.600411575E0,-6.275383281E0,-4.181435714E0,7.708836304E0
1.039147625E0,-7.806184924E-1,-6.111362450E0,-3.730265724E0,7.202291205E0
1.049194625E0,-3.991438043E-1,-5.928711221E0,-2.843241940E0,6.587333090E0
1.059242625E0,-3.147012395E-1,-6.167572904E0,-1.644014847E0,6.390678932E0
1.069289625E0,-1.276353621E-1,-6.535392589E0,-2.275970221E-1,6.540599933E0
1.079337625E0,4.085332632E-1,-6.663861764E0,7.714243305E-1,6.720792255E0
1.089385625E0,1.473188442E0,-6.105355021E0,1.800913185E0,6.533676791E0
1.099432625E0,3.187522489E0,-5.181784970E0,3.151908268E0,6.851694741E0
1.109480625E0,5.446301896E0,-4.087521830E0,4.198655764E0,7.999921829E0
1.119527625E0,7.580888781E0,-2.678836947E0,4.790952105E0,9.359447856E0
1.129575625E0,9.005479259E0,-1.248766019E0,4.831260179E0,1.029558877E1
1.139622625E0,9.592927381E0,1.876403663E-1,4.577593346E0,1.063079609E1
1.149670625E0,9.180162488E0,1.089554816E0,4.305335875E0,1.019796205E1
1.159717625E0,8.771666647E0,1.278947300E0,4.040742935E0,9.741942590E0
1.169765625E0,8.614802223E0,1.514097609E0,3.955884048E0,9.599808723E0
1.179812625E0,8.404656801E0,2.026811298E0,4.092661532E0,9.565359293E0
1.189860625E0,7.924589871E0,2.362490301E0,3.998773960E0,9.185351285E0
1.199907625E0,7.535889194E0,2.365193761E0,3.937817321E0,8.825540931E0
1.209955625E0,6.786431099E0,2.369450827E0,3.945157331E0,8.199646983E0
1.220003625E0,5.819496342E0,2.240946568E0,3.923106312E0,7.367437976E0
1.230050625E0,4.804899176E0,2.055529606E0,3.752299787E0,6.433662390E0
1.240098625E0,3.808633617E0,1.901227432E0,3.324221036E0,5.401000025E0
1.250145625E0,3.077463858E0,1.935394175E0,2.769730160E0,4.570332544E0
1.260193625E0,2.513637317E0,2.057107769E0,2.081542553E0,3.857834151E0
1.270240625E0,2.240628480E0,2.206836543E0,1.572958167E0,3.516353354E0
1.280288625E0,2.264621944E0,2.397578858E0,1.245075111E0,3.525210485E0
1.290335625E0,2.415627458E0,2.518161601E0,9.297879803E-1,3.611218569E0
1.300383625E0,2.769795064E0,2.570083414E0,7.777795230E-1,3.857723997E0
1.310430625E0,2.990768945E0,2.690555644E0,6.058439740E-1,4.068271805E0
1.320478625E0,3.360911145E0,3.015876012E0,1.264524704E-1,4.517435342E0
1.330526625E0,3.656797798E0,3.384259077E0,-5.688943219E-1,5.014879897E0
1.340573625E0,3.823645758E0,3.572256415E0,-1.449708509E0,5.429819292E0
1.350621625E0,3.896537148E0,3.559974924E0,-2.427882053E0,5.809564051E0
1.360668625E0,4.022196736E0,3.611736816E0,-3.275921280E0,6.320946895E0
1.370716625E0,4.092477930E0,3.782087258E0,-3.772764457E0,6.729510478E0
1.380763625E0,4.205146174E0,4.004665030E0,-4.017757530E0,7.061371815E0
1.390811625E0,4.183241335E0,4.085581139E0,-4.094601054E0,7.138433938E0
1.400858625E0,4.092685506E0,4.017630646E0,-4.006982281E0,6.996237393E0
1.410906625E0,3.782850319E0,3.754623178E0,-3.961197998E0,6.640650670E0
1.420953625E0,3.095382065E0,3.184598882E0,-3.888152826E0,5.902608962E0
1.431001625E0,2.515749916E0,2.353661298E0,-3.681582391E0,5.042099568E0
1.441049625E0,1.981344811E0,1.557217316E0,-3.543921393E0,4.348566646E0
1.451096625E0,1.497487131E0,9.906145182E-1,-3.379304146E0,3.826680199E0
1.461144625E0,9.838852501E-1,7.037188357E-1,-3.132766823E0,3.358195699E0
1.471191625E0,7.874889708E-1,5.828022167E-1,-2.865930891E0,3.028755054E0
1.481239625E0,6.269285220E-1,5.001126471E-1,-2.528125548E0,2.652276535E0
1.491286625E0,5.294150913E-1,4.776637244E-1,-2.325337824E0,2.432208660E0
1.501334625E0,4.655757755E-1,3.286161509E-1,-2.249095394E0,2.320167983E0
1.511381625E0,3.399056625E-1,2.780117154E-2,-2.374298753E0,2.398666991E0
1.521429625E0,3.523181319E-1,1.302800578E-1,-2.420307277E0,2.449283217E0
1.531476625E0,3.940046865E-1,4.244815439E-2,-2.271990606E0,2.306292013E0
1.541524625E0,3.625384802E-1,-4.961684078E-2,-2.198754230E0,2.228994424E0
1.551572625E0,4.861720079E-1,-1.239466462E-1,-1.866123088E0,1.932392655E0
1.561619625E0,4.829876143E-1,-3.576794440E-1,-1.610340732E0,1.718839403E0
1.571667625E0,5.772049695E-1,-2.831862089E-1,-1.750221772E0,1.864574015E0
1.581714625E0,1.129652243E0,5.744500539E-1,-2.923841715E0,3.186684394E0
1.591762625E0,1.715867187E0,7.034887478E-1,-3.294377432E0,3.780478711E0
1.601809625E0,2.057665594E0,1.097025657E0,-3.445574734E0,4.160461301E0
1.611857625E0,2.517652600E0,1.770388673E0,-3.480703636E0,4.646304819E0
1.621904625E0,2.753401226E0,1.719634256E0,-3.145893238E0,4.520509324E0
1.631952625E0,2.747866836E0,1.344004445E0,-2.649365226E0,4.046758727E0
1.641999625E0,2.714399128E0,1.003971313E0,-1.761837412E0,3.388213702E0
1.652047625E0,2.751805521E0,7.998371208E-1,-8.586812333E-1,2.991572580E0
1.662095625E0,3.119371437E0,9.077077246E-1,-4.011131465E-2,3.249002984E0
1.672142625E0,3.576925417E0,1.256711362E0,4.721720195E-1,3.820558245E0
1.682190625E0,3.934522415E0,1.683933204E0,6.959291750E-1,4.335944544E0
1.692237625E0,4.198103787E0,2.104163968E0,7.070535028E-1,4.748842603E0
1.702285625E0,4.114652326E0,2.301142192E0,8.207800931E-1,4.785321213E0
1.712332625E0,3.826057734E0,2.101489890E0,1.124514149E0,4.507716674E0
1.722380625E0,3.593784694E0,1.666648250E0,1.639725915E0,4.287389169E0
1.732427625E0,3.391835899E0,1.250077696E0,2.187158616E0,4.225033470E0
1.742475625E0,3.234231802E0,8.482373022E-1,2.728085121E0,4.315345907E0
1.752522625E0,2.941381023E0,5.178664018E-1,3.245785023E0,4.410785457E0
1.762570625E0,2.356548945E0,2.500014328E-1,3.505609851E0,4.231444680E0
1.772617625E0,1.645108861E0,-4.535195477E-2,3.485364452E0,3.854374830E0
1.782665625E0,9.886542392E-1,-3.164513842E-1,3.285931129E0,3.446000880E0
1.792713625E0,4.167924553E-1,-4.906313504E-1,3.014515073E0,3.082488637E0
1.802760625E0,2.383909822E-2,-6.380350158E-1,2.708013968E0,2.782264660E0
1.812808625E0,-2.916018140E-1,-8.402637465E-1,2.326059809E0,2.490307012E0
1.822855625E0,-7.399458450E-1,-1.069455450E0,1.700228809E0,2.140568340E0
1.832903625E0,-1.310905403E0,-1.355887741E0,9.788391030E-1,2.124860121E0
1.842950625E0,-1.926546460E0,-1.615252393E0,2.407076490E-1,2.525581464E0
1.852998625E0,-2.298109533E0,-1.939920797E0,-1.700791311E-1,3.012229579E0
1.863045625E0,-2.548772652E0,-2.478306394E0,-4.135016423E-1,3.578998215E0
1.873093625E0,-2.728197972E0,-2.896986038E0,-5.275580156E-1,4.014213465E0
1.883140625E0,-2.913273457E0,-3.052902921E0,-7.229269391E-1,4.281355140E0
1.893188625E0,-2.914645214E0,-3.010725200E0,-9.485037482E-1,4.296426691E0
1.903236625E0,-2.699516795E0,-2.872713076E0,-1.233991714E0,4.130690849E0
1.913283625E0,-2.301326671E0,-2.708643129E0,-1.464559121E0,3.844188532E0
1.923331625E0,-1.823281124E0,-2.555749549E0,-1.652697963E0,3.547903658E0
1.933378625E0,-1.395375158E0,-2.282040800E0,-1.763636016E0,3.203934150E0
1.943426625E0,-1.130475239E0,-2.050915422E0,-2.045442574E0,3.109351002E0
1.953473625E0,-8.031519073E-1,-1.877906982E0,-2.429944950E0,3.174306236E0
1.963521625E0,-4.277869749E-1,-1.704396997E0,-2.661718054E0,3.189469206E0
1.973568625E0,-1.880461630E-1,-1.658348419E0,-2.840401947E0,3.294444424E0
1.983616625E0,-1.578868094E-1,-1.739765050E0,-2.849541146E0,3.342393665E0
1.993663625E0,-2.535352707E-2,-1.783946612E0,-2.651328721E0,3.195724065E0
2.003711625E0,3.026311246E-1,-1.887151868E0,-2.273085789E0,2.969822684E0
2.013759625E0,6.710805550E-1,-1.847884307E0,-1.817285973E0,2.677228760E0
2.023806625E0,7.814040658E-1,-1.704066629E0,-1.565934053E0,2.442659380E0
2.033855750E0,1.001853159E0,-1.503439158E0,-1.626898293E0,2.431221321E0
2.043902750E0,1.255621734E0,-1.279529098E0,-1.763964629E0,2.515025221E0
2.053950750E0,1.502168997E0,-1.048861849E0,-1.812001845E0,2.576814615E0
2.063997750E0,1.616432508E0,-7.877732916E-1,-1.799316310E0,2.543812099E0
2.074045750E0,1.662399517E0,-5.907911213E-1,-1.670342520E0,2.429537083E0
2.084092750E0,1.819290545E0,-4.204436029E-1,-1.470064859E0,2.376485136E0
2.094140750E0,1.895407698E0,-2.003706318E-1,-1.097939284E0,2.199588463E0
2.104187750E0,1.935083541E0,-1.692663682E-1,-7.158746123E-1,2.070187401E0
2.114235750E0,1.828627233E0,-2.916285650E-1,-2.014792639E-1,1.862664401E0
2.124283750E0,1.593407196E0,-4.831782335E-1,4.166673249E-1,1.716397202E0
2.134330750E0,1.501899294E0,-8.938661957E-1,9.458438498E-1,1.987289323E0
